"Time","sensor-readings.difference"
1675493100000,0
1675494000000,0
1675494900000,0
1675495800000,1.5
1675496700000,0
1675497600000,0
1675498500000,0
1675499400000,0
1675500300000,0
1675501200000,0
1675502100000,0
1675503000000,0
1675503900000,0
1675504800000,0
1675505700000,0
1675506600000,0
1675507500000,0
1675508400000,0
1675509300000,0
1675510200000,0
1675511100000,5.19921875
1675512000000,0
1675512900000,0
1675513800000,0
1675514700000,1.19921875
1675515600000,0
1675516500000,0
1675517400000,0
1675518300000,0
1675519200000,0
1675520100000,1.701171875
1675521000000,0
1675521900000,0
1675522800000,0
1675523700000,0
1675524600000,0
1675525500000,0
1675526400000,0
1675527300000,0
1675528200000,0
1675529100000,0
1675530000000,0
1675530900000,0
1675531800000,0
1675532700000,0
1675533600000,0
1675534500000,0
1675535400000,0
1675536300000,0
1675537200000,0
1675538100000,0
1675539000000,0
1675539900000,0
1675540800000,0
1675541700000,0
1675542600000,0
1675543500000,0
1675544400000,0
1675545300000,0
1675546200000,0
1675547100000,0
1675548000000,0
1675548900000,0
1675549800000,0
1675550700000,0
1675551600000,0
1675552500000,0
1675553400000,0
1675554300000,0
1675555200000,0
1675556100000,0
1675557000000,0
1675557900000,0
1675558800000,0
1675559700000,0
1675560600000,0
1675561500000,0
1675562400000,0
1675563300000,0
1675564200000,0
1675565100000,0
1675566000000,0
1675566900000,0
1675567800000,0
1675568700000,0
1675569600000,0
1675570500000,0
1675571400000,0
1675572300000,0
1675573200000,0
1675574100000,0
1675575000000,0
1675575900000,0
1675576800000,0
1675577700000,0
1675578600000,0
1675579500000,0
1675580400000,0
1675581300000,0
1675582200000,0
1675583100000,0
1675584000000,0
1675584900000,0
1675585800000,0
1675586700000,0
1675587600000,0
1675588500000,0
1675589400000,0
1675590300000,0
1675591200000,0
1675592100000,0
1675593000000,0
1675593900000,0
1675594800000,0
1675595700000,32.19921875
1675596600000,0
1675597500000,0
1675598400000,1
1675599300000,0
1675600200000,0
1675601100000,0
1675602000000,0
1675602900000,0
1675603800000,0
1675604700000,0
1675605600000,0
1675606500000,0
1675607400000,0
1675608300000,0
1675609200000,0
1675610100000,0
1675611000000,0
1675611900000,0
1675612800000,0
1675613700000,0
1675614600000,0
1675615500000,0
1675616400000,0
1675617300000,0
1675618200000,0
1675619100000,0
1675620000000,0
1675620900000,0
1675621800000,0
1675622700000,0
1675623600000,0
1675624500000,0
1675625400000,0
1675626300000,0
1675627200000,0
1675628100000,0
1675629000000,0
1675629900000,0
1675630800000,0
1675631700000,0
1675632600000,15.099609375
1675633500000,0
1675634400000,0
1675635300000,0
1675636200000,0
1675637100000,0
1675638000000,0
1675638900000,0
1675639800000,0
1675640700000,0
1675641600000,0
1675642500000,0
1675643400000,0
1675644300000,0
1675645200000,0
1675646100000,0
1675647000000,0
1675647900000,0
1675648800000,0
1675649700000,0
1675650600000,0
1675651500000,11
