"Time","reading"
1652058000000,61
1652061600000,55
1652065200000,56
1652068800000,56
1652072400000,84
1652076000000,111
1652079600000,188
1652083200000,349
1652086800000,382
1652090400000,462
1652094000000,433
1652097600000,411
1652101200000,358
1652104800000,361
1652108400000,252
1652112000000,173
1652115600000,95
1652119200000,78
1652122800000,73
1652126400000,62
1652130000000,69
1652133600000,63
1652137200000,62
1652140800000,66
1652144400000,60
1652148000000,61
1652151600000,59
1652155200000,62
1652158800000,95
1652162400000,113
1652166000000,161
1652169600000,194
1652173200000,213
1652176800000,213
1652180400000,232
1652184000000,255
1652187600000,300
1652191200000,324
1652194800000,285
1652198400000,161
1652202000000,80
1652205600000,67
1652209200000,65
1652212800000,59
1652216400000,62
1652220000000,56
1652223600000,64
1652227200000,56
1652230800000,63
1652234400000,57
1652238000000,60
1652241600000,60
1652245200000,133
1652248800000,254
1652257800000,319.2
1652258700000,372
1652259600000,376
1652261400000,396
1652262300000,400
1652263200000,404
1652265000000,416
1652265900000,440
1652266800000,440
1652268600000,434
1652269500000,468
1652270400000,488
1652272200000,560
1652273100000,508
1652274000000,464
1652275800000,552
1652276700000,592
1652277600000,568
1652279400000,534
1652280300000,388
1652281200000,296
1652283000000,218
1652283900000,216
1652284800000,208
1652286600000,172
1652287500000,168
1652288400000,156
1652290200000,152
1652291100000,136
1652292000000,160
1652293800000,148
1652294700000,140
1652295600000,152
1652297400000,100
1652298300000,52
1652299200000,72
1652301000000,62
1652301900000,52
1652302800000,52
1652304600000,66
1652305500000,68
1652306400000,52
1652308200000,58
1652309100000,56
1652310000000,52
1652311800000,82
1652312700000,68
1652313600000,80
1652315400000,68
1652316300000,88
1652317200000,68
1652319000000,76
1652319900000,60
1652320800000,56
1652322600000,74
1652323500000,56
1652324400000,84
1652326200000,50
1652327100000,80
1652328000000,56
1652329800000,74
1652330700000,56
1652331600000,84
1652333400000,88
1652334300000,120
1652335200000,184
1652337000000,206
1652337900000,216
1652338800000,244
1652340600000,330
1652341500000,420
1652342400000,500
1652344200000,514
1652345100000,380
1652346000000,520
1652347800000,396
1652348700000,384
1652349600000,412
1652351400000,444
1652352300000,508
1652353200000,468
1652355000000,464
1652355900000,460
1652356800000,424
1652358600000,456
1652359500000,424
1652360400000,480
1652362200000,438
1652363100000,468
1652364000000,436
1652365800000,346
1652366700000,292
1652367600000,168
1652369400000,166
1652370300000,176
1652371200000,160
1652373000000,156
1652373900000,164
1652374800000,148
1652376600000,152
1652377500000,148
1652378400000,160
1652380200000,150
1652381100000,160
1652382000000,136
1652383800000,150
1652384700000,140
1652385600000,132
1652387400000,76
1652388300000,64
1652389200000,88
1652391000000,68
1652391900000,48
1652392800000,80
1652394600000,66
1652395500000,56
1652396400000,68
1652398200000,84
1652399100000,72
1652400000000,96
1652401800000,74
1652402700000,80
1652403600000,80
1652405400000,86
1652406300000,76
1652407200000,80
1652409000000,80
1652409900000,80
1652410800000,84
1652412600000,58
1652413500000,64
1652414400000,72
1652416200000,74
1652417100000,56
1652418000000,76
1652419800000,116
1652420700000,136
1652421600000,180
1652423400000,196
1652424300000,204
1652425200000,236
1652426100000,264
1652427000000,288
1652427900000,288
1652428800000,332
1652429700000,364
1652430600000,364
1652431500000,348
1652432400000,336
1652433300000,352
1652434200000,344
1652435100000,344
1652436000000,364
1652436900000,340
1652437800000,352
1652438700000,400
1652439600000,392
1652440500000,412
1652441400000,324
1652442300000,292
1652443200000,272
1652444100000,240
1652445000000,224
1652445900000,216
1652446800000,204
1652447700000,216
1652448600000,236
1652449500000,112
1652450400000,84
1652451300000,112
1652452200000,72
1652453100000,92
1652454000000,76
1652454900000,92
1652455800000,84
1652456700000,80
1652457600000,88
1652458500000,52
1652459400000,68
1652460300000,64
1652461200000,80
1652462100000,60
1652463000000,52
1652463900000,56
1652464800000,56
1652465700000,52
1652466600000,72
1652467500000,52
1652468400000,72
1652469300000,44
1652470200000,64
1652471100000,48
1652472000000,48
1652472900000,68
1652473800000,48
1652474700000,68
1652475600000,44
1652476500000,52
1652477400000,60
1652478300000,44
1652479200000,68
1652480100000,40
1652481000000,44
1652481900000,72
1652482800000,40
1652483700000,80
1652484600000,72
1652485500000,48
1652486400000,68
1652487300000,44
1652488200000,44
1652489100000,64
1652490000000,44
1652490900000,52
1652491800000,60
1652492700000,44
1652493600000,56
1652494500000,56
1652495400000,44
1652496300000,64
1652497200000,44
1652498100000,44
1652499000000,64
1652499900000,44
1652500800000,44
1652501700000,68
1652502600000,44
1652503500000,44
1652504400000,64
1652505300000,40
1652506200000,60
1652507100000,56
1652508000000,44
1652508900000,60
1652509800000,48
1652510700000,44
1652511600000,68
1652512500000,44
1652513400000,48
1652514300000,64
1652515200000,44
1652516100000,68
1652517000000,56
1652517900000,56
1652518800000,56
1652519700000,44
1652520600000,76
1652521500000,56
1652522400000,56
1652523300000,64
1652524200000,44
1652525100000,76
1652526000000,64
1652526900000,68
1652527800000,52
1652528700000,60
1652529600000,76
1652530500000,68
1652531400000,84
1652532300000,64
1652533200000,92
1652534100000,64
1652535000000,84
1652535900000,72
1652536800000,96
1652537700000,100
1652538600000,112
1652539500000,96
1652540400000,124
1652541300000,112
1652542200000,132
1652543100000,108
1652544000000,136
1652544900000,112
1652545800000,132
1652546700000,108
1652547600000,136
1652548500000,108
1652549400000,128
1652550300000,108
1652551200000,112
1652552100000,128
1652553000000,68
1652553900000,64
1652554800000,44
1652555700000,56
1652556600000,60
1652557500000,44
1652558400000,68
1652559300000,52
1652560200000,48
1652561100000,68
1652562000000,44
1652562900000,60
1652563800000,52
1652564700000,44
1652565600000,68
1652566500000,44
1652567400000,48
1652568300000,72
1652569200000,48
1652570100000,68
1652571000000,84
1652571900000,64
1652572800000,76
1652573700000,72
1652574600000,60
1652575500000,76
1652576400000,60
1652577300000,56
1652578200000,68
1652579100000,52
1652580000000,44
1652580900000,64
1652581800000,44
1652582700000,44
1652583600000,64
1652584500000,48
1652585400000,44
1652586300000,64
1652587200000,44
1652588100000,44
1652589000000,68
1652589900000,44
1652590800000,44
1652591700000,68
1652592600000,48
1652593500000,44
1652594400000,64
1652595300000,44
1652596200000,44
1652597100000,72
1652598000000,48
1652598900000,48
1652599800000,72
1652600700000,48
1652601600000,56
1652602500000,68
1652603400000,48
1652604300000,80
1652605200000,64
1652606100000,72
1652607000000,80
1652607900000,64
1652608800000,92
1652609700000,60
1652610600000,88
1652611500000,64
1652612400000,96
1652613300000,92
1652614200000,128
1652615100000,120
1652616000000,148
1652616900000,128
1652617800000,148
1652618700000,132
1652619600000,144
1652620500000,128
1652621400000,144
1652622300000,140
1652623200000,128
1652624100000,144
1652625000000,148
1652625900000,128
1652626800000,148
1652627700000,124
1652628600000,160
1652629500000,124
1652630400000,148
1652631300000,128
1652632200000,136
1652633100000,140
1652634000000,140
1652634900000,132
1652635800000,132
1652636700000,144
1652637600000,128
1652638500000,144
1652639400000,124
1652640300000,124
1652641200000,60
1652642100000,64
1652643000000,48
1652643900000,44
1652644800000,68
1652645700000,44
1652646600000,64
1652647500000,52
1652648400000,48
1652649300000,64
1652650200000,44
1652651100000,68
1652652000000,40
1652652900000,44
1652653800000,68
1652654700000,44
1652655600000,52
1652656500000,88
1652657400000,64
1652658300000,76
1652659200000,80
1652660100000,64
1652661000000,84
1652661900000,56
1652662800000,56
1652663700000,80
1652664600000,52
1652665500000,56
1652666400000,68
1652667300000,48
1652668200000,60
1652669100000,60
1652670000000,52
1652670900000,52
1652671800000,56
1652672700000,48
1652673600000,72
1652674500000,60
1652675400000,100
1652676300000,64
1652677200000,68
1652678100000,108
1652679000000,132
1652679900000,136
1652680800000,152
1652681700000,172
1652682600000,268
1652683500000,300
1652684400000,312
1652685300000,304
1652686200000,340
1652687100000,348
1652688000000,344
1652688900000,380
1652689800000,392
1652690700000,404
1652691600000,412
1652692500000,432
1652693400000,444
1652694300000,448
1652695200000,448
1652696100000,452
1652697000000,448
1652697900000,424
1652698800000,408
1652699700000,412
1652700600000,388
1652701500000,372
1652702400000,424
1652703300000,396
1652704200000,388
1652705100000,380
1652706000000,412
1652706900000,400
1652707800000,400
1652708700000,372
1652709600000,360
1652710500000,388
1652711400000,396
1652712300000,344
1652713200000,264
1652714100000,244
1652715000000,224
1652715900000,256
1652716800000,276
1652717700000,276
1652718600000,268
1652719500000,256
1652720400000,228
1652721300000,188
1652722200000,148
1652723100000,120
1652724000000,148
1652724900000,160
1652725800000,136
1652726700000,128
1652727600000,136
1652728500000,124
1652729400000,132
1652730300000,152
1652731200000,120
1652732100000,120
1652733000000,136
1652733900000,108
1652734800000,128
1652735700000,128
1652736600000,128
1652737500000,132
1652738400000,104
1652739300000,128
1652740200000,104
1652741100000,132
1652742000000,104
1652742900000,148
1652743800000,124
1652744700000,148
1652745600000,120
1652746500000,148
1652747400000,124
1652748300000,140
1652749200000,128
1652750100000,136
1652751000000,128
1652751900000,136
1652752800000,136
1652753700000,128
1652754600000,152
1652755500000,136
1652756400000,144
1652757300000,112
1652758200000,120
1652759100000,124
1652760000000,116
1652760900000,136
1652761800000,120
1652762700000,140
1652763600000,116
1652764500000,144
1652765400000,136
1652766300000,172
1652767200000,148
1652768100000,204
1652769000000,216
1652769900000,204
1652770800000,156
1652771700000,188
1652772600000,208
1652773500000,164
1652774400000,164
1652775300000,160
1652776200000,148
1652777100000,216
1652778000000,208
1652778900000,252
1652779800000,216
1652780700000,236
1652781600000,208
1652782500000,236
1652783400000,224
1652784300000,212
1652785200000,284
1652786100000,296
1652787000000,324
1652787900000,336
1652788800000,348
1652789700000,392
1652790600000,360
1652791500000,384
1652792400000,376
1652793300000,348
1652794200000,356
1652795100000,356
1652796000000,336
1652796900000,324
1652797800000,268
1652798700000,328
1652799600000,332
1652800500000,196
1652801400000,188
1652802300000,160
1652803200000,160
1652804100000,180
1652805000000,160
1652805900000,160
1652806800000,176
1652807700000,152
1652808600000,148
1652809500000,164
1652810400000,140
1652811300000,164
1652812200000,160
1652813100000,140
1652814000000,144
1652814900000,76
1652815800000,84
1652816700000,52
1652817600000,84
1652818500000,64
1652819400000,80
1652820300000,52
1652821200000,80
1652822100000,52
1652823000000,84
1652823900000,64
1652824800000,72
1652825700000,60
1652826600000,56
1652827500000,80
1652828400000,56
1652829300000,96
1652830200000,68
1652831100000,72
1652832000000,104
1652832900000,76
1652833800000,68
1652834700000,88
1652835600000,64
1652836500000,88
1652837400000,68
1652838300000,60
1652839200000,84
1652840100000,68
1652841000000,60
1652841900000,92
1652842800000,60
1652843700000,52
1652844600000,80
1652845500000,60
1652846400000,60
1652847300000,88
1652848200000,80
1652849100000,72
1652850000000,100
1652850900000,188
1652851800000,180
1652852700000,224
1652853600000,216
1652854500000,256
1652855400000,284
1652856300000,288
1652857200000,352
1652858100000,436
1652859000000,456
1652859900000,460
1652860800000,476
1652861700000,468
1652862600000,352
1652863500000,444
1652864400000,376
1652865300000,436
1652866200000,432
1652867100000,420
1652868000000,456
1652868900000,472
1652869800000,552
1652870700000,540
1652871600000,536
1652872500000,536
1652873400000,568
1652874300000,560
1652875200000,548
1652876100000,568
1652877000000,556
1652877900000,584
1652878800000,584
1652879700000,568
