time,energy,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-04-24 05:00:00,1558.0,44.25620506493507,65.09164051282052,7.15,26.4,83.99176029962547,9.633333333333333,0.0,0.0,0.0,0,6,4,2022,5,24,114,-0.7818314824680299,0.6234898018587334,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998
2022-04-24 06:00:00,1533.0,97.5197965578635,110.0381982017544,8.6,28.899999999999995,83.54232209737827,10.8875,0.0,0.0,0.0,0,6,4,2022,6,24,114,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2022-04-24 07:00:00,1525.0,144.43858710059172,148.64336568965518,9.9,31.975,83.0928838951311,12.514285714285714,0.0,0.0,0.0,0,6,4,2022,7,24,114,-0.7818314824680299,0.6234898018587334,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-24 08:00:00,1615.0,199.9044275596817,418.5452550625711,10.994117647058824,34.65714285714286,82.6434456928839,13.783333333333333,0.0,0.0,0.0,0,6,4,2022,8,24,114,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2022-04-24 09:00:00,1367.0,280.10654688432834,541.0325885276073,11.953846153846154,37.08888888888889,80.73067756213824,15.254545454545456,0.0,0.0,0.0,0,6,4,2022,9,24,114,-0.7818314824680299,0.6234898018587334,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998
2022-04-24 10:00:00,1400.0,214.96622398058253,676.8324441138421,11.459999999999999,36.7,77.27340067340067,15.300000000000002,0.0,0.0,0.0,0,6,4,2022,10,24,114,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-24 11:00:00,1363.0,224.08790774748925,681.3087964519141,12.385714285714286,40.20769230769231,73.28042328042329,17.183333333333334,0.0,0.0,0.0,0,6,4,2022,11,24,114,-0.7818314824680299,0.6234898018587334,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998
2022-04-24 12:00:00,1342.0,203.2293138294011,564.8499311569149,11.42,38.81818181818182,67.71187301587302,17.587500000000002,0.0,0.0,0.0,0,6,4,2022,12,24,114,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
2022-04-24 13:00:00,1388.0,258.17327322997414,706.4642365725806,10.191666666666666,37.21666666666667,62.412333333333336,17.240000000000002,0.0,0.0,0.0,0,6,4,2022,13,24,114,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-24 14:00:00,1349.0,235.10763812220569,562.4126218201754,9.714285714285714,37.41428571428571,57.89907407407407,17.983333333333334,0.0,0.0,0.0,0,6,4,2022,14,24,114,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998
2022-04-24 15:00:00,1377.0,198.74203867768597,401.62262773333333,9.172727272727274,37.099999999999994,53.77891737891738,18.566666666666666,0.0,0.0,0.0,0,6,4,2022,15,24,114,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998
2022-04-24 16:00:00,1471.0,120.06090028653296,141.94479609848486,6.6000000000000005,32.3,50.38758825715347,16.900000000000002,0.0,0.0,0.0,0,6,4,2022,16,24,114,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998
2022-04-24 17:00:00,1546.0,63.7138703785489,65.14045374999999,5.283333333333333,30.3,47.881259370314844,16.5,0.0,0.0,0.0,0,6,4,2022,17,24,114,-0.7818314824680299,0.6234898018587334,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
