time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-11-10 07:00:00,1841.0,6.02767205897075,29.517971825986635,88.66355555555556,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,7,10,314,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-10 08:00:00,2199.0,6.02767205897075,29.517971825986635,89.83688888888891,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,8,10,314,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
2022-11-10 09:00:00,2477.0,6.02767205897075,29.517971825986635,91.01022222222223,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,9,10,314,0.43388373911755823,-0.900968867902419,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
2022-11-10 10:00:00,2508.0,6.1,21.8,91.83184981813915,7.1,0.0,0.0,0.0,0.0,1,3,11,2022,10,10,314,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-10 11:00:00,2392.0,6.02767205897075,29.517971825986635,91.76888419570575,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,11,10,314,0.43388373911755823,-0.900968867902419,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
2022-11-10 12:00:00,2310.0,6.02767205897075,29.517971825986635,91.66328757479761,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,12,10,314,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
2022-11-10 13:00:00,2656.0,6.02767205897075,29.517971825986635,91.55769095388948,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,13,10,314,0.43388373911755823,-0.900968867902419,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-10 14:00:00,2401.0,6.02767205897075,29.517971825986635,91.45209433298136,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,14,10,314,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
2022-11-10 15:00:00,2932.0,6.02767205897075,29.517971825986635,91.34649771207322,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,15,10,314,0.43388373911755823,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
2022-11-10 16:00:00,2187.0,6.02767205897075,29.517971825986635,91.24090109116509,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,16,10,314,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
2022-11-10 17:00:00,2078.0,6.02767205897075,29.517971825986635,91.13530447025695,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,17,10,314,0.43388373911755823,-0.900968867902419,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-10 18:00:00,1910.0,6.02767205897075,29.517971825986635,91.02970784934882,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,18,10,314,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
2022-11-10 19:00:00,1783.0,6.02767205897075,29.517971825986635,90.92411122844071,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,19,10,314,0.43388373911755823,-0.900968867902419,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
2022-11-10 20:00:00,1871.0,6.02767205897075,29.517971825986635,90.81851460753256,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,20,10,314,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-10 21:00:00,1702.0,6.02767205897075,29.517971825986635,90.71291798662443,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,21,10,314,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
